data_sn,refresh
1061,230.52965690000002
1062,236.39992149999998
1063,239.24622909999997
1064,238.0556926
1065,240.3592793
1066,241.46190269999997
1067,246.38953840000002
1068,239.01324010000002
1069,233.41725449999998
1070,232.6935262
1071,243.84184900000002
1072,251.00459139999998
1073,249.71072949999999
1074,251.41052369999997
1075,246.94484100000003
1076,229.68864309999998
1077,231.80262090000002
1078,229.20890260000002
1079,230.2013613
1080,224.871152
1081,226.45494900000003
1082,231.47915330000004
1083,232.85670809999996
1084,214.69003590000003
1085,227.9795815
1086,222.5477761
1087,230.1483812
1088,230.58975890000002
1089,222.75948819999996
1090,232.8837111
1091,228.15461409999997
1092,229.9740525
1093,230.6198895
1094,219.25271380000004
1095,222.04097969999998
1096,223.885006
1097,218.2176441
1098,225.80425559999998
1099,220.86119559999997
1100,224.0549065
1101,227.4902398
1102,216.5864055
1103,220.6297165
1104,238.21723070000002
1105,249.9437619
1106,234.7892492
1107,250.7435876
1108,230.1674972
1109,230.1674972
1110,226.3781702
1111,226.3781702
1112,224.93028360000002
1113,224.93028360000002
1114,222.45938199999998
1115,222.45938199999998
1116,239.0627409
1117,239.0627409
1118,244.2370139
1119,244.2370139
1120,235.2496062
1121,235.2496062
1122,246.42210150000002
1123,246.42210150000002
1124,233.07025130000002
1125,233.07025130000002
1126,244.6088121
1127,244.6088121
1128,245.75520550000002
1129,245.75520550000002
1130,243.1795285
1131,243.1795285
1132,245.8001707
1133,245.8001707
1134,243.60024730000004
1135,243.60024730000004
1136,224.78599590000002
1137,224.78599590000002
1138,219.66846119999997
1139,219.66846119999997
1140,204.72368659999998
1141,204.72368659999998
1142,209.47237919999998
1143,209.47237919999998
1144,211.28370159999997
1145,211.28370159999997
1146,213.3273571
1147,213.3273571
1148,231.2566227
1149,231.2566227
1150,234.0036417
1151,234.0036417
1152,222.169766
1153,222.169766
1154,231.0846613
1155,231.0846613
1156,225.55962680000002
1157,225.55962680000002
1158,226.1853238
1159,226.1853238
1160,222.51968390000002
1161,222.51968390000002
1162,227.52850460000002
1163,227.52850460000002
1164,242.13439240000002
1165,242.13439240000002
1166,248.5038395
1167,248.5038395
1168,250.1377194
1169,250.1377194
1170,249.3699312
1171,249.3699312
1172,230.52585040000002
1173,230.52585040000002
1174,221.9280569
1175,221.9280569
1176,226.67591370000002
1177,226.67591370000002
1178,220.7724863
1179,220.7724863
1180,214.3375829
1181,214.3375829
1182,223.3599455
1183,223.3599455
1184,209.8227251
1185,209.8227251
1186,221.6610624
1187,221.6610624
1188,210.9197398
1189,210.9197398
1190,223.94880600000002
1191,223.94880600000002
1192,235.1078421
1193,235.1078421
1194,238.06515589999998
1195,238.06515589999998
1196,224.47111740000003
1197,224.47111740000003
1198,238.2477598
1199,238.2477598
1200,225.75735840000002
1201,225.75735840000002
1202,236.1502318
1203,236.1502318
1204,228.76942799999998
1205,225.7196943
1206,217.18197560000002
1207,217.018213
1208,216.93351040000002
1209,228.82186370000002
1210,229.6101844
1211,225.79318700000002
1212,250.18816659999996
1213,249.1438401
1214,246.5080077
1215,242.3902804
1216,238.61130079999998
1217,234.61155630000002
1218,234.3962755
1219,236.2673659
1220,236.2673243
1221,232.9655279
1222,239.2004394
1223,239.5156988
1224,235.5125591
1225,236.4448211
1226,238.07153990000003
1227,235.9265335
1228,234.0706028
1229,208.3809779
1230,235.17977480000002
1231,239.48887390000002
1232,237.3639155
1233,237.96690209999997
1234,241.33046370000002
1235,238.0854591
1236,242.403692
1237,222.20008509999997
1238,222.5698611
1239,225.7100725
1240,218.95686630000003
1241,228.83902200000003
1242,242.43874879999998
1243,242.97979080000002
1244,237.79564269999997
1245,243.4912142
1246,240.24795690000002
1247,219.5779829
1248,217.6667813
1249,217.3785492
1250,249.06726380000003
1251,236.2830412
1252,234.29817400000002
1253,230.5673392
1254,234.55969590000004
1255,241.5763247
1256,240.680013
1257,238.85408540000003
1258,229.6355765
1259,230.3946581
1260,226.9787129
1261,217.55639759999997
1262,221.04163540000002
1263,218.5817329
1264,224.04201260000002
1265,219.2963637
1266,223.5677897
1267,232.5253449
1268,233.16264840000002
1269,240.67148369999998
1270,241.8834076
1271,245.49464080000004
1272,241.65343810000002
1273,251.3427582
1274,233.2414749
1275,230.1798653
1276,239.87342310000002
1277,233.50884900000003
1278,228.07096919999998
1279,223.2714048
1280,223.31794969999999
1281,236.29164559999998
1282,230.67789309999998
1283,239.3895524
1284,237.2297438
1285,236.4331747
1286,236.17351060000001
1287,220.5870977
1288,219.19372400000003
1289,221.62911749999998
1290,248.31077630000001
1291,239.04233689999998
1292,238.975261
1293,249.3067634
1294,242.96577889999998
1295,238.81709750000002
1296,239.83802450000002
1297,240.55875719999997
1298,237.5826978
1299,231.28555730000002
1300,231.04257400000003
1301,231.17603870000002
1302,223.1857673
1303,222.77824700000002
1304,226.57476859999997
1305,223.4658346
1306,231.20114339999998
1307,250.3165901
1308,255.5413665
1309,248.79769900000002
1310,257.4364978
1311,244.0502128
1312,253.59733939999998
1313,231.0248071
1314,237.232243
1315,232.4810724
1316,235.8657624
1317,224.15618849999998
1318,218.9511937
1319,221.5085318
1320,240.58423369999997
1321,232.38721719999998
1322,232.78594139999998
1323,222.64438739999997
1324,226.47436869999999
1325,238.40642069999998
1326,244.1989347
1327,242.38456910000002
1328,240.67602200000002
1329,228.4425711
1330,230.5913048
1331,233.47581949999997
1332,235.1110228
1333,240.0590795
1334,233.7689335
1335,240.10880079999998
1336,231.9364891
1337,231.38411340000002
1338,233.4903574
1339,248.4326978
1340,235.20402969999998
1341,229.971106
1342,225.77099950000002
1343,231.04611980000004
1344,226.09734269999996
1345,235.8789083
1346,236.5015298
1347,236.12831
1348,233.7770755
1349,243.9934523
1350,228.7466353
1351,228.43569469999997
1352,237.01629930000001
1353,230.6594139
1354,229.61777830000003
1355,231.3535068
1356,235.912573
1357,236.6562616
1358,234.4365319
1359,236.9623346
1360,233.3401337
1361,240.4764744
1362,243.4144259
1363,242.6882376
1364,239.59278450000002
1365,215.0293986
1366,219.1231228
1367,221.48322480000002
1368,227.9782826
1369,230.4866887
1370,224.60065469999998
1371,231.1976327
1372,226.7726134
1373,230.4112986
1374,232.2523609
1375,231.3021193
1376,224.1086374
1377,228.9895188
1378,229.9994906
1379,231.9033358
1380,230.66473059999998
1381,230.4789393
1382,239.2172707
1383,242.3858049
1384,232.0171087
1385,241.91384739999998
1386,221.0372469
1387,213.0417128
1388,223.29307880000002
1389,211.50749590000004
1390,220.50891030000003
1391,238.1702165
1392,235.67583760000002
1393,237.2696109
1394,236.9644712
1395,240.1335019
1396,236.54163849999998
1397,234.71436699999998
1398,235.90819419999997
1399,240.47272599999997
1400,240.38973190000002
1401,247.28249849999997
1402,218.5250469
1403,213.26313939999997
1404,215.657503
1405,214.0147059
1406,200.8258298
1407,205.37985580000003
1408,217.61296230000002
1409,219.11859869999998
1410,244.2043884
1411,246.72456580000002
1412,243.286982
1413,242.94319669999996
1414,250.8305738
1415,232.1751364
1416,228.01486200000002
1417,222.85988319999998
1418,225.6603248
1419,215.08053430000004
1420,216.7789281
1421,209.0166394
1422,218.35270330000003
1423,230.843543
1424,240.97552230000002
1425,235.46078250000002
1426,241.0578953
1427,241.9614779
1428,240.1861846
1429,224.17080319999997
1430,225.4830247
1431,229.61168700000002
1432,224.0464531
1433,232.161767
1434,248.00291769999995
1435,249.868552
1436,250.03696090000003
1437,240.56613230000002
1438,241.62706809999997
1439,235.80943849999997
1440,254.67389029999998
1441,253.863294
1442,255.55129780000001
1443,256.2983111
1444,252.02135159999997
1445,257.925856
1446,234.30754680000004
1447,238.74579210000002
1448,239.5989675
1449,249.4800324
1450,246.46301069999998
1451,248.2460049
1452,244.15925840000003
1453,252.7455985
1454,257.7908392
1455,253.5480719
1456,254.4273346
1457,255.5414712
1458,252.444698
1459,259.07398390000003
1460,245.75758019999998
1461,250.59863900000002
1462,246.01061009999998
1463,237.5702122
1464,226.0442321
1465,226.55458019999998
1466,224.39182630000002
1467,220.4054631
1468,213.9488027
1469,217.2449233
1470,220.1160898
1471,207.4894729
1472,206.5434618
1473,212.02973369999998
1474,195.4821515
1475,194.844166
1476,196.35886519999997
1477,216.0073744
1478,216.0689272
1479,220.15631769999996
1480,213.19475669999997
1481,218.153282
1482,212.6287496
1483,223.8437313
1484,218.3709531
1485,215.59302940000003
1486,215.8636747
1487,214.36869049999999
1488,220.8658621
1489,220.83655359999997
1490,212.82851890000003
1491,210.08048369999997
1492,207.77899250000002
1493,214.2947676
1494,218.058696
1495,221.5831184
1496,207.156382
1497,204.83824219999997
1498,197.0213689
1499,201.96461340000002
1500,194.1775773
1501,210.1696653
1502,210.8482613
1503,208.25127980000002
1504,215.7008653
1505,226.1534924
1506,230.61395389999998
1507,221.35809210000002
1508,233.14586809999997
1509,228.9512695
1510,223.99754469999996
1511,225.43563219999996
1512,228.65640580000002
1513,224.6038373
1514,229.87040269999997
1515,229.2888807
1516,229.1393495
1517,217.1466591
1518,218.01715819999998
1519,213.7481517
1520,214.03248680000002
1521,222.12314249999997
1522,224.05272639999998
1523,215.2435787
1524,217.1044292
1525,215.9677841
1526,208.3961114
1527,225.6574364
1528,225.1802616
1529,227.91346890000003
1530,226.67129300000002
1531,230.4029286
1532,209.705828
1533,217.50933270000002
1534,219.80648309999998
